Temp,Ave_energy,Ave_energy^2
500.0,0.0064,0.006
495.0,0.0316,0.0073
490.0,0.0125,0.0051
485.0,0.0222,0.003
480.0,0.0213,0.0043
475.0,0.0119,0.0049
470.0,0.0156,0.0046
465.0,0.0165,0.0049
460.0,0.0247,0.0067
455.0,0.0068,0.0054
450.0,0.0241,0.0054
445.0,0.0076,0.0043
440.0,0.0327,0.0072
435.0,0.0108,0.0063
430.0,0.017,0.0039
425.0,0.0119,0.0038
420.0,0.0143,0.0046
415.0,0.0033,0.0028
410.0,0.0156,0.0042
405.0,0.003,0.0043
400.0,0.0017,0.0047
395.0,0.0246,0.0042
390.0,0.0029,0.004
385.0,0.0112,0.0043
380.0,0.0333,0.0049
375.0,0.0004,0.0029
370.0,0.0065,0.0033
365.0,0.0222,0.0033
360.0,0.0115,0.0029
355.0,0.0222,0.0056
350.0,0.0391,0.0065
345.0,0.0576,0.0098
340.0,0.0312,0.0042
335.0,0.0237,0.0048
330.0,0.0251,0.0046
325.0,0.0133,0.0039
320.0,0.0066,0.003
315.0,0.0155,0.0048
310.0,0.0168,0.0037
305.0,0.0224,0.004
300.0,0.0284,0.0057
295.0,0.0102,0.003
290.0,0.0147,0.0046
285.0,0.0001,0.0039
280.0,0.0336,0.0046
275.0,0.0179,0.0044
270.0,0.0121,0.0042
265.0,0.0017,0.0052
260.0,0.0074,0.0037
255.0,0.0212,0.005
250.0,0.0022,0.0036
245.0,0.0261,0.0049
240.0,0.0079,0.0045
235.0,0.0155,0.0039
230.0,0.0126,0.0031
225.0,0.0563,0.0067
220.0,0.0345,0.0056
215.0,0.0154,0.0033
210.0,0.0363,0.0071
205.0,0.0135,0.0051
200.0,0.0252,0.0087
195.0,0.0075,0.0036
190.0,0.005,0.0036
185.0,0.0073,0.0041
180.0,0.0209,0.0047
175.0,0.0216,0.0027
170.0,0.0348,0.0067
165.0,0.002,0.0034
160.0,0.0031,0.0036
155.0,0.0013,0.0057
150.0,0.0179,0.0043
145.0,0.0115,0.0037
140.0,0.0252,0.0079
135.0,0.0285,0.0047
130.0,0.0103,0.0054
125.0,0.0124,0.0047
120.0,0.0113,0.0032
115.0,0.0071,0.0046
110.0,0.004,0.0039
105.0,0.0207,0.0034
