Temp,Ave_magnetization,Ave_magnetization^2
500.0,0.0229,0.0041
495.0,0.0064,0.0015
490.0,0.023,0.0037
485.0,0.0147,0.0022
480.0,0.0131,0.0035
475.0,0.0055,0.0026
470.0,0.0245,0.002
465.0,0.0101,0.0026
460.0,0.0039,0.0016
455.0,0.0036,0.001
450.0,0.0126,0.0021
445.0,0.0223,0.0018
440.0,0.0011,0.0024
435.0,0.0323,0.0033
430.0,0.0184,0.002
425.0,0.0131,0.003
420.0,0.035,0.0025
415.0,0.0063,0.0014
410.0,0.0182,0.0022
405.0,0.0368,0.0038
400.0,0.0162,0.0036
395.0,0.0061,0.0034
390.0,0.0215,0.0026
385.0,0.0065,0.0019
380.0,0.0265,0.0036
375.0,0.0063,0.002
370.0,0.0214,0.0024
365.0,0.001,0.0026
360.0,0.0349,0.0027
355.0,0.0271,0.0042
350.0,0.018,0.0019
345.0,0.01,0.0037
340.0,0.0031,0.0021
335.0,0.0048,0.0015
330.0,0.0132,0.0025
325.0,0.0173,0.002
320.0,0.0051,0.0021
315.0,0.0127,0.0022
310.0,0.015,0.0016
305.0,0.0221,0.0022
300.0,0.0338,0.0032
295.0,0.0072,0.0015
290.0,0.012,0.0019
285.0,0.0363,0.0038
280.0,0.0154,0.0018
275.0,0.0211,0.003
270.0,0.0182,0.0018
265.0,0.0186,0.002
260.0,0.0316,0.003
255.0,0.0262,0.0027
250.0,0.0041,0.0034
245.0,0.0144,0.006
240.0,0.028,0.0021
235.0,0.0117,0.002
230.0,0.0107,0.0015
225.0,0.0168,0.0019
220.0,0.0034,0.002
215.0,0.0204,0.0029
210.0,0.0383,0.0048
205.0,0.0072,0.0022
200.0,0.034,0.0027
195.0,0.006,0.0018
190.0,0.0194,0.0017
185.0,0.0002,0.0015
180.0,0.001,0.0011
175.0,0.0358,0.0026
170.0,0.0519,0.0043
165.0,0.0004,0.0014
160.0,0.03,0.0026
155.0,0.0149,0.0022
150.0,0.0329,0.0041
145.0,0.0051,0.0018
140.0,0.0057,0.0016
135.0,0.0255,0.0028
130.0,0.0206,0.0027
125.0,0.0092,0.0019
120.0,0.0023,0.003
115.0,0.0318,0.0027
110.0,0.0023,0.0024
105.0,0.0044,0.0031
